"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R10","0603_res","21.8127mm","7.856mm","21.8mm","7.856mm","21.1396mm","7.856mm","T","0.00","0R"
"R9","0603_res","24.4877mm","5.125mm","24.475mm","5.125mm","23.8146mm","5.125mm","T","0.00","0R"
"D7","0603_DIODE-CDSU101A","24.275mm","7.5373mm","24.275mm","7.55mm","24.275mm","8.3104mm","T","270.00","NSR20F30NXT5G"
"D6","0603_DIODE-CDSU101A","25.95mm","7.5373mm","25.95mm","7.55mm","25.95mm","8.3104mm","T","270.00","NSR20F30NXT5G"
"C12","0603_cap","27mm","-3.0627mm","27mm","-3.05mm","27mm","-2.3896mm","T","270.00","100nF"
"JP3","1X02","18.85mm","4.475mm","18.85mm","4.475mm","20.12mm","4.475mm","T","180.00","HEADER-2"
"U3","N-NODE24-20pins","15.3mm","25.25mm","4.3mm","34.25mm","4.3mm","34.25mm","T","0.00","N-NODE24-20pin"
"B2","N-GMS","15.24mm","13.975mm","0mm","33.025mm","-0mm","27.945mm","T","270.00","N-GMS"
"JP1","USB-MINI-B-HIR-UX60A-MB-5ST","18.9875mm","-1.8625mm","17.4mm","-0.325mm","20.65mm","0.5mm","B","0.00","USB-MINI-B"
"U2","SOT23-5_0.95MM-NOSILK","23.45mm","2.475mm","23.45mm","2.475mm","22.25mm","3.425mm","T","270.00","TPS78233"
"C10","0603_CAP","25.975mm","2.4877mm","25.975mm","2.475mm","25.975mm","1.8146mm","T","90.00","1uF/MLCC"
"C8","0603_CAP","20.8mm","1.8627mm","20.8mm","1.85mm","20.8mm","1.1896mm","T","90.00","1uF/MLCC"
"R4","0603_res","21.525mm","33.3377mm","21.525mm","33.325mm","21.525mm","32.6646mm","T","90.00","10K"
"R3","0603_res","20.275mm","33.3127mm","20.275mm","33.3mm","20.275mm","32.6396mm","T","90.00","10K"
"C5","0603_cap","17.3623mm","28.875mm","17.375mm","28.875mm","18.0354mm","28.875mm","T","180.00","100nF"
"C4","0603_cap","23.475mm","25.4127mm","23.475mm","25.4mm","23.475mm","24.7396mm","T","90.00","100nF"
"C2","0603_cap","10.2mm","20.7123mm","10.2mm","20.725mm","10.2mm","21.3854mm","T","270.00","100nF"
"C3","0603_cap","15.2877mm","28.875mm","15.275mm","28.875mm","14.6146mm","28.875mm","T","360.00","100nF"
"D2","0603_DIODE-CDSU101A","13.7mm","1.2627mm","13.7mm","1.25mm","13.7mm","0.4896mm","T","90.00","NSR20F30NXT5G"
"D3","0603_DIODE-CDSU101A","11.875mm","1.2627mm","11.875mm","1.25mm","11.875mm","0.4896mm","T","90.00","NSR20F30NXT5G"
"D4","0603_DIODE-CDSU101A","15.475mm","1.2627mm","15.475mm","1.25mm","15.475mm","0.4896mm","T","90.00","NSR20F30NXT5G"
"SW1","BUTTON_4.7x3.5mm","17.1mm","-3.7mm","16.95mm","-3.8mm","16.25mm","-1.1mm","T","0.00","EVQ-P2202M"
"SW3","BUTTON_4.7x3.5mm","13.25mm","-3.675mm","13.1mm","-3.775mm","12.4mm","-1.075mm","T","0.00","EVQ-P2202M"
"D5","0603_DIODE-CDSU101A","17.35mm","1.2627mm","17.35mm","1.25mm","17.35mm","0.4896mm","T","90.00","NSR20F30NXT5G"
"C1","0603_cap","9.925mm","28.7123mm","9.925mm","28.725mm","9.925mm","29.3854mm","T","270.00","22pF"
"C6","0603_cap","7.9373mm","33.475mm","7.95mm","33.475mm","8.6104mm","33.475mm","T","180.00","18pF"
"C7","0603_cap","7.5877mm","26.475mm","7.575mm","26.475mm","6.9146mm","26.475mm","T","360.00","7pF"
"C9","0603_cap","7.7623mm","20.225mm","7.775mm","20.225mm","8.4354mm","20.225mm","T","180.00","7pF"
"C11","SUPERCAP__PAS3225P3R3113","14.975mm","31.575mm","14.975mm","31.625mm","13.75mm","31.575mm","T","0.00","0.011F"
"C14","0603_CAP","14.7873mm","33.95mm","14.8mm","33.95mm","15.4604mm","33.95mm","T","180.00","10uF/MLCC"
"D1","0603_DIODE-CASE_152AB","11.8mm","33.0623mm","11.8mm","33.075mm","11.8mm","33.7354mm","T","270.00","NSR20F30NXT5G"
"R1","0603_res","10.6mm","33.2877mm","10.6mm","33.275mm","10.6mm","32.6146mm","T","90.00","10K"
"R2","0603_res","18.175mm","33.3127mm","18.175mm","33.3mm","18.175mm","32.6396mm","T","90.00","10K"
"R5","0603_res","25.6605mm","0.0628mm","25.6478mm","0.0628mm","24.9874mm","0.0628mm","T","0.00","10K"
"R6","0603_res","25.6605mm","-1.2452mm","25.6478mm","-1.2452mm","24.9874mm","-1.2452mm","T","0.00","18K"
"U1","SOT313-2_V","16.875mm","22.725mm","12.45mm","25.475mm","12.65mm","25.475mm","T","360.00","LPC11U68JBD48"
"Y1","CRYSTAL-3.2X1.5","8.05mm","30.55mm","8.05mm","30.55mm","8.05mm","29.2375mm","T","270.00","FC135-32.76KAA3"
"Y2","CRY-SMD4-EPSON-FA238V","7.533mm","23.5149mm","7.533mm","23.5149mm","8.483mm","22.3149mm","T","90.00","12MHz/10pF"
"C15","0603_cap","8.1873mm","17.6mm","8.2mm","17.6mm","8.8604mm","17.6mm","T","180.00","100nF"
"R7","0603_res","8.1937mm","16.5702mm","8.2064mm","16.5702mm","8.8668mm","16.5702mm","T","180.00","10K"
"SW2","BUTTON_4.7x3.5mm","22.175mm","-3.625mm","22.025mm","-3.725mm","21.325mm","-1.025mm","T","0.00","EVQ-P2202M"
"JP4","1X05","9.425mm","4.475mm","9.425mm","4.475mm","4.345mm","4.475mm","T","360.00","HEADER_5"
"JP2","2x5-1.27mm-HARWIN-855-M50-3600542","6.35mm","-3.525mm","6.35mm","-3.525mm","4.21mm","-0.985mm","T","270.00","Header 5X2 1.27mm"
"LD2","0603_LED_GRN","23.5561mm","10.179mm","23.5688mm","10.179mm","24.2292mm","10.179mm","T","180.00","LED_GRN"
"LD1","0603_LED_RED","23.5561mm","11.403mm","23.5688mm","11.403mm","24.2292mm","11.403mm","T","180.00","LED_RED"
"R11","0603_res","25.6627mm","11.4mm","25.65mm","11.4mm","24.9896mm","11.4mm","T","360.00","620R"
"R12","0603_res","25.6627mm","10.2mm","25.65mm","10.2mm","24.9896mm","10.2mm","T","360.00","470R"
"R8","0603_res","8.1623mm","13.975mm","8.175mm","13.975mm","8.8354mm","13.975mm","T","180.00","10K"
"R13","0603_res","8.1623mm","15.1mm","8.175mm","15.1mm","8.8354mm","15.1mm","T","180.00","10K"
"LD3","0603_LED_BLU","23.5373mm","12.55mm","23.55mm","12.55mm","24.2104mm","12.55mm","T","180.00","LED_BLU"
"R14","0603_res","25.6627mm","12.55mm","25.65mm","12.55mm","24.9896mm","12.55mm","T","0.00","470R"

